android_id,version
SQ1A.220105.002,android-12.0.0_r26
SP1A.210812.016.A2,android-12.0.0_r25
SQ1D.211205.016.A5,android-12.0.0_r21
SQ1D.211205.016.A4,android-12.0.0_r20
SQ1D.211205.017,android-12.0.0_r19
SQ1D.211205.016.A1,android-12.0.0_r18
SQ1A.211205.008,android-12.0.0_r16
SD1A.210817.037.A1,android-12.0.0_r15
SD1A.210817.037,android-12.0.0_r14
SD1A.210817.036.A8,android-12.0.0_r13
SD1A.210817.036,android-12.0.0_r12
SP1A.211105.004,android-12.0.0_r11
SP1A.211105.003,android-12.0.0_r10
SP1A.211105.002.A1,android-12.0.0_r9
SP1A.211105.002,android-12.0.0_r8
SD1A.210817.019.C4,android-12.0.0_r7
SD1A.210817.019.C2,android-12.0.0_r6
SD1A.210817.019.B1,android-12.0.0_r5
SD1A.210817.015.A4,android-12.0.0_r4
SP1A.210812.016.A1,android-12.0.0_r3
SP1A.210812.015,android-12.0.0_r1
8001874,android-security-11.0.0_r51
7804787,android-security-11.0.0_r50
7786871,android-security-11.0.0_r49
RD2A.211001.002,android-11.0.0_r48
RD2A.211001.001,android-11.0.0_r47
RQ3A.211001.001,android-11.0.0_r46
RD2A.210905.003,android-11.0.0_r45
RD2A.210905.002,android-11.0.0_r44
RQ3A.210905.001,android-11.0.0_r43
RD2A.210605.007,android-11.0.0_r42
RD2A.210605.006,android-11.0.0_r41
RQ3A.210805.001.A1,android-11.0.0_r40
RQ3A.210705.001,android-11.0.0_r39
RQ3A.210605.005,android-11.0.0_r38
RQ2A.210505.003,android-11.0.0_r37
RQ2A.210505.002,android-11.0.0_r36
RQ2A.210405.006,android-11.0.0_r35
RQ2A.210405.005,android-11.0.0_r34
RQ2A.210305.007,android-11.0.0_r33
RQ2A.210305.006,android-11.0.0_r32
RQ1D.210205.004,android-11.0.0_r31
RQ1C.210205.006,android-11.0.0_r30
RQ1A.210205.004,android-11.0.0_r29
RQ1D.210105.003,android-11.0.0_r28
RQ1A.210105.003,android-11.0.0_r27
RQ1A.210105.002,android-11.0.0_r26
RP1A.201005.004.A1,android-11.0.0_r25
RQ1D.201205.012.A1,android-11.0.0_r24
RQ1A.201205.003.A1,android-11.0.0_r23
RQ1A.201205.011,android-11.0.0_r22
RQ1A.201205.008.A1,android-11.0.0_r21
RQ1A.201205.010,android-11.0.0_r20
RQ1A.201205.008,android-11.0.0_r19
RQ1A.201205.003,android-11.0.0_r18
RP1A.201105.002,android-11.0.0_r17
RD1B.201105.010,android-11.0.0_r16
RD1A.201105.003.C1,android-11.0.0_r15
RD1A.201105.003.B1,android-11.0.0_r14
RD1A.201105.003.A1,android-11.0.0_r13
RD1A.201105.003,android-11.0.0_r12
RD1A.200810.022.A4,android-11.0.0_r11
RD1A.200810.021.B3,android-11.0.0_r10
RD1A.200810.020.A1,android-11.0.0_r9
RD1A.200810.021.A1,android-11.0.0_r8
RD1A.200810.020,android-11.0.0_r7
RP1A.201005.006,android-11.0.0_r5
RP1A.201005.004,android-11.0.0_r4
RP1A.200720.011,android-11.0.0_r3
RP1A.200720.010,android-11.0.0_r2
RP1A.200720.009,android-11.0.0_r1
7964643,android-security-10.0.0_r62
7804786,android-security-10.0.0_r61
7786870,android-security-10.0.0_r60
7678332,android-security-10.0.0_r59
7507835,android-security-10.0.0_r58
7483358,android-security-10.0.0_r57
7427955,android-security-10.0.0_r56
7269719,android-security-10.0.0_r55
7250004,android-security-10.0.0_r54
7127522,android-security-10.0.0_r53
7070703,android-security-10.0.0_r52
7023426,android-security-10.0.0_r51
6969601,android-security-10.0.0_r50
6893682,android-security-10.0.0_r49
6878114,android-security-10.0.0_r48
6780337,android-10.0.0_r47
6777444,android-10.0.0_r46
QD4A.200805.003,android-10.0.0_r45
QD4A.200805.001,android-10.0.0_r44
QD4A.200317.027,android-10.0.0_r43
QD4A.200317.024.A1,android-10.0.0_r42
QQ3A.200805.001,android-10.0.0_r41
QQ3A.200705.002,android-10.0.0_r40
QQ3A.200605.002.A1,android-10.0.0_r39
QQ3A.200605.002,android-10.0.0_r38
QQ3A.200605.001,android-10.0.0_r37
QQ2A.200501.001.B3,android-10.0.0_r36
QQ2A.200501.001.B2,android-10.0.0_r35
QQ2A.200501.001.A3,android-10.0.0_r34
QQ2A.200405.005,android-10.0.0_r33
QQ2A.200305.004.A1,android-10.0.0_r32
QQ2A.200305.003,android-10.0.0_r31
QQ2A.200305.002,android-10.0.0_r30
QQ1D.200205.002,android-10.0.0_r29
QQ1C.200205.002,android-10.0.0_r28
QQ1B.200205.002,android-10.0.0_r27
QQ1A.200205.002,android-10.0.0_r26
QQ1D.200105.002,android-10.0.0_r25
QQ1C.200105.004,android-10.0.0_r24
QQ1B.200105.004,android-10.0.0_r23
QQ1A.200105.003,android-10.0.0_r22
QQ1A.200105.002,android-10.0.0_r21
QQ1C.191205.016.A1,android-10.0.0_r20
QQ1B.191205.012.A1,android-10.0.0_r19
QQ1B.191205.011,android-10.0.0_r18
QP1A.191005.007.A3,android-10.0.0_r17
QQ1A.191205.011,android-10.0.0_r16
QQ1A.191205.008,android-10.0.0_r15
QD1A.190821.014.C2,android-10.0.0_r14
QD1A.190821.014,android-10.0.0_r13
QD1A.190821.007.A3,android-10.0.0_r12
QP1A.191105.004,android-10.0.0_r11
QP1A.191105.003,android-10.0.0_r10
QD1A.190821.011.C4,android-10.0.0_r9
QD1A.190821.011,android-10.0.0_r8
QD1A.190821.007,android-10.0.0_r7
5933585,android-10.0.0_r6
QP1A.191005.007.A1,android-10.0.0_r5
QP1A.191005.007,android-10.0.0_r4
QP1A.190711.020.C3,android-10.0.0_r3
QP1A.190711.020,android-10.0.0_r2
QP1A.190711.019,android-10.0.0_r1
7925397,android-security-9.0.0_r76
7804785,android-security-9.0.0_r75
7786868,android-security-9.0.0_r74
7678331,android-security-9.0.0_r73
7507834,android-security-9.0.0_r72
7449186,android-security-9.0.0_r71
7427956,android-security-9.0.0_r70
7269718,android-security-9.0.0_r69
7249336,android-security-9.0.0_r68
7127521,android-security-9.0.0_r67
7070702,android-security-9.0.0_r66
7023409,android-security-9.0.0_r65
6969600,android-security-9.0.0_r64
6893678,android-security-9.0.0_r63
6826377,android-security-9.0.0_r62
6780336,android-9.0.0_r61
6644287,android-9.0.0_r60
6559974,android-9.0.0_r59
6495666,android-9.0.0_r58
6454888,android-9.0.0_r57
6440158,android-9.0.0_r56
6197209,android-9.0.0_r55
6127072,android-9.0.0_r54
6107734,android-9.0.0_r53
6037698,android-9.0.0_r52
5948683,android-9.0.0_r51
5887210,android-9.0.0_r50
5794013,android-9.0.0_r49
5748468,android-9.0.0_r48
PQ3B.190801.002,android-9.0.0_r47
PQ3A.190801.002,android-9.0.0_r46
PQ3B.190705.003,android-9.0.0_r45
PQ3A.190705.003,android-9.0.0_r44
PQ3A.190705.001,android-9.0.0_r43
PQ3B.190605.006,android-9.0.0_r42
PQ3A.190605.004.A1,android-9.0.0_r41
PQ3A.190605.003,android-9.0.0_r40
PD2A.190115.032,android-9.0.0_r39
PD2A.190115.029,android-9.0.0_r38
PQ3A.190505.002,android-9.0.0_r37
PQ3A.190505.001,android-9.0.0_r36
PQ2A.190405.003,android-9.0.0_r35
PQ2A.190305.002,android-9.0.0_r34
PQ2A.190205.003,android-9.0.0_r33
PQ2A.190205.002,android-9.0.0_r32
PQ2A.190205.001,android-9.0.0_r31
PQ1A.190105.004,android-9.0.0_r30
PQ1A.181205.006.A1,android-9.0.0_r22
PQ1A.181205.006,android-9.0.0_r21
PQ1A.181205.002.A1,android-9.0.0_r20
PQ1A.181205.002,android-9.0.0_r19
PPR2.181005.003.A1,android-9.0.0_r18
PPR1.181005.003.A1,android-9.0.0_r17
PQ1A.181105.017.A1,android-9.0.0_r16
PD1A.180720.031,android-9.0.0_r12
PD1A.180720.030,android-9.0.0_r11
PPR2.181005.003,android-9.0.0_r10
PPR1.181005.003,android-9.0.0_r9
PPR2.180905.006.A1,android-9.0.0_r8
PPR2.180905.006,android-9.0.0_r7
PPR2.180905.005,android-9.0.0_r6
PPR1.180905.003,android-9.0.0_r5
PPR1.180610.011,android-9.0.0_r3
PPR1.180610.010,android-9.0.0_r2
PPR1.180610.009,android-9.0.0_r1
7678330,android-security-8.1.0_r93
7507833,android-security-8.1.0_r92
7449185,android-security-8.1.0_r91
7427957,android-security-8.1.0_r90
7269716,android-security-8.1.0_r89
7249334,android-security-8.1.0_r88
7127520,android-security-8.1.0_r87
7070700,android-security-8.1.0_r86
7023408,android-security-8.1.0_r85
6969599,android-security-8.1.0_r84
6893677,android-security-8.1.0_r83
6826376,android-security-8.1.0_r82
6780335,android-8.1.0_r81
6644286,android-8.1.0_r80
6560352,android-8.1.0_r79
6495665,android-8.1.0_r78
6454887,android-8.1.0_r77
6440157,android-8.1.0_r76
6197208,android-8.1.0_r75
6127071,android-8.1.0_r74
6107733,android-8.1.0_r73
6037697,android-8.1.0_r72
5948682,android-8.1.0_r71
5887208,android-8.1.0_r70
5794017,android-8.1.0_r69
5725752,android-8.1.0_r68
OPM8.190605.005,android-8.1.0_r67
5650812,android-8.1.0_r66
OPM8.190605.003,android-8.1.0_r65
OPM8.190505.001,android-8.1.0_r64
OPM8.190405.001,android-8.1.0_r63
OPM8.190305.001,android-8.1.0_r62
OPM8.190205.001,android-8.1.0_r61
OPM8.190105.002,android-8.1.0_r60
OPM8.181205.001,android-8.1.0_r53
OPM7.181205.001,android-8.1.0_r52
OPM8.181105.002,android-8.1.0_r51
OPM7.181105.004,android-8.1.0_r50
OPM8.181005.003,android-8.1.0_r48
OPM7.181005.003,android-8.1.0_r47
OPM6.171019.030.K1,android-8.1.0_r46
OPM4.171019.021.Z1,android-8.1.0_r45
OPM6.171019.030.H1,android-8.1.0_r43
OPM4.171019.021.Y1,android-8.1.0_r42
OPM6.171019.030.E1,android-8.1.0_r41
OPM4.171019.021.R1,android-8.1.0_r40
OPM4.171019.021.Q1,android-8.1.0_r39
OPM4.171019.021.P1,android-8.1.0_r38
OPM4.171019.021.N1,android-8.1.0_r37
OPM2.171026.006.H1,android-8.1.0_r36
OPM2.171026.006.G1,android-8.1.0_r35
OPM6.171019.030.B1,android-8.1.0_r33
OPM4.171019.021.E1,android-8.1.0_r32
OPM4.171019.021.D1,android-8.1.0_r31
OPM2.171026.006.C1,android-8.1.0_r30
OPM4.171019.016.C1,android-8.1.0_r29
OPM4.171019.016.B1,android-8.1.0_r28
OPM4.171019.016.A1,android-8.1.0_r27
OPM2.171019.029.B1,android-8.1.0_r26
OPM2.171019.029.A1,android-8.1.0_r25
OPM4.171019.015.A1,android-8.1.0_r23
OPM5.171019.019,android-8.1.0_r22
OPM3.171019.019,android-8.1.0_r21
OPM2.171019.029,android-8.1.0_r20
OPM1.171019.026,android-8.1.0_r19
OPM5.171019.017,android-8.1.0_r18
OPM3.171019.016,android-8.1.0_r17
OPM1.171019.022.A1,android-8.1.0_r16
OPM1.171019.021,android-8.1.0_r15
OPM5.171019.015,android-8.1.0_r14
OPM3.171019.014,android-8.1.0_r13
OPM1.171019.019,android-8.1.0_r12
OPM1.171019.018,android-8.1.0_r11
OPM1.171019.016,android-8.1.0_r10
OPM5.171019.014,android-8.1.0_r9
OPM2.171019.016,android-8.1.0_r8
OPM3.171019.013,android-8.1.0_r7
OPM1.171019.015,android-8.1.0_r6
OPM1.171019.014,android-8.1.0_r5
OPM1.171019.013,android-8.1.0_r4
OPM1.171019.012,android-8.1.0_r3
OPM2.171019.012,android-8.1.0_r2
OPM1.171019.011,android-8.1.0_r1